t_sec,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s
42073.732,-375278.748922348,-102609.991975606,-69369.945760456,0.275078776,-0.851110399,-0.446922489
42673.732,-375113.265636126,-103120.538199808,-69638.017745093,0.276532027,-0.850710025,-0.446650625
43273.732,-374946.910671841,-103630.843617314,-69905.926308856,0.277984369,-0.850307710,-0.446377753
43873.732,-374779.684574897,-104140.907063961,-70173.670846773,0.279435802,-0.849903456,-0.446103872
44473.732,-374611.587892493,-104650.727376546,-70441.250754457,0.280886320,-0.849497263,-0.445828985
45073.732,-374442.621173616,-105160.303392818,-70708.665428109,0.282335923,-0.849089135,-0.445553093
45673.732,-374272.784969041,-105669.633951489,-70975.914264517,0.283784606,-0.848679072,-0.445276195
46273.732,-374102.079831326,-106178.717892232,-71242.996661057,0.285232366,-0.848267075,-0.444998293
46873.732,-373930.506314814,-106687.554055682,-71509.912015695,0.286679201,-0.847853148,-0.444719389
47473.732,-373758.064975624,-107196.141283441,-71776.659726987,0.288125108,-0.847437290,-0.444439482
48073.732,-373584.756371655,-107704.478418076,-72043.239194081,0.289570083,-0.847019504,-0.444158575
48673.732,-373410.581062577,-108212.564303124,-72309.649816715,0.291014124,-0.846599792,-0.443876667
49273.732,-373235.539609834,-108720.397783094,-72575.890995223,0.292457228,-0.846178154,-0.443593761
49873.732,-373059.632576639,-109227.977703465,-72841.962130531,0.293899392,-0.845754593,-0.443309857
50473.732,-372882.860527970,-109735.302910693,-73107.862624161,0.295340613,-0.845329111,-0.443024956
51073.732,-372705.224030571,-110242.372252210,-73373.591878230,0.296780887,-0.844901708,-0.442739059
51673.732,-372526.723652946,-110749.184576426,-73639.149295453,0.298220213,-0.844472387,-0.442452166
52273.732,-372347.359965359,-111255.738732731,-73904.534279142,0.299658587,-0.844041148,-0.442164280
52873.732,-372167.133539828,-111762.033571499,-74169.746233206,0.301096006,-0.843607995,-0.441875401
53473.732,-371986.044950127,-112268.067944086,-74434.784562157,0.302532467,-0.843172928,-0.441585530
54073.732,-371804.094771781,-112773.840702834,-74699.648671104,0.303967967,-0.842735949,-0.441294668
54673.732,-371621.283582061,-113279.350701073,-74964.337965760,0.305402504,-0.842297060,-0.441002816
55273.732,-371437.611959987,-113784.596793124,-75228.851852437,0.306836075,-0.841856262,-0.440709975
55873.732,-371253.080486321,-114289.577834298,-75493.189738054,0.308268676,-0.841413557,-0.440416146
56473.732,-371067.689743565,-114794.292680899,-75757.351030129,0.309700304,-0.840968947,-0.440121330
57073.732,-370881.440315960,-115298.740190225,-76021.335136790,0.311130958,-0.840522433,-0.439825528
57673.732,-370694.332789482,-115802.919220575,-76285.141466768,0.312560634,-0.840074018,-0.439528741
