t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
6559.591,EarthOrbit,-30781.491135150,-31271.973973341,-16950.495402109,-383502.136,-72004.494,-53233.889,-0.380434010728,-2.360995554462,-1.275550498702
6799.591,EarthOrbit,-30869.436352536,-31835.182959509,-17254.768305451,-383457.045,-72213.590,-53344.562,-0.352589343319,-2.332491412696,-1.260099868894
7039.591,EarthOrbit,-30950.802558356,-32391.606953937,-17555.363521937,-383411.783,-72422.654,-53455.211,-0.325601512424,-2.304451080111,-1.244901538869
7279.591,EarthOrbit,-31025.790188237,-32941.355232654,-17852.340491615,-383366.513,-72631.716,-53565.859,-0.299427650404,-2.276857707538,-1.229946317129
7519.591,EarthOrbit,-31094.589744995,-33484.533123711,-18145.756501091,-383320.890,-72840.712,-53676.457,-0.274027807866,-2.249695236795,-1.215225445675
7759.591,EarthOrbit,-31157.382468721,-34021.242191684,-18435.666784627,-383275.268,-73049.708,-53787.056,-0.249364705674,-2.222948356658,-1.200730575686
7999.591,EarthOrbit,-31214.340950418,-34551.580411912,-18722.124619560,-383229.457,-73258.667,-53897.627,-0.225403512030,-2.196602461289,-1.186453744585
8239.591,EarthOrbit,-31265.629694861,-35075.642335034,-19005.181416385,-383183.475,-73467.595,-54008.175,-0.202111641736,-2.170643611025,-1.172387354424
8479.591,EarthOrbit,-31311.405637674,-35593.519242395,-19284.886803799,-383137.484,-73676.520,-54118.721,-0.179458575062,-2.145058495458,-1.158524151551
8719.591,EarthOrbit,-31351.818621071,-36105.299292859,-19561.288709015,-383091.142,-73885.378,-54229.217,-0.157415694035,-2.119834398681,-1.144857207484
8959.591,EarthOrbit,-31387.011832192,-36611.067661523,-19834.433433620,-383044.800,-74094.236,-54339.713,-0.135956134192,-2.094959166605,-1.131379900941
9199.591,EarthOrbit,-31417.122207558,-37110.906670828,-20104.365725260,-382998.269,-74303.057,-54450.182,-0.115054650134,-2.070421176242,-1.118085900956
9439.591,EarthOrbit,-31442.280806749,-37604.895914529,-20371.128845391,-382951.567,-74511.846,-54560.627,-0.094687493378,-2.046209306831,-1.104969151020
9679.591,EarthOrbit,-31462.613158124,-38093.112374931,-20634.764633343,-382904.857,-74720.632,-54671.070,-0.074832301212,-2.022312912708,-1.092023854191
9919.591,EarthOrbit,-31478.239579064,-38575.630533833,-20895.313566923,-382857.795,-74929.350,-54781.463,-0.055467995418,-1.998721797825,-1.079244459108
10159.591,EarthOrbit,-31489.275472990,-39052.522477521,-21152.814819756,-382810.734,-75138.068,-54891.856,-0.036574689832,-1.975426191799,-1.066625646862
10399.591,EarthOrbit,-31495.831605168,-39523.857996209,-21407.306315584,-382763.484,-75346.749,-55002.222,-0.018133605867,-1.952416727414,-1.054162318657
10639.591,EarthOrbit,-31498.014359112,-39989.704678230,-21658.824779686,-382716.063,-75555.397,-55112.563,-0.000126995187,-1.929684419470,-1.041849584223
10879.591,EarthOrbit,-31495.925975221,-40450.127999310,-21907.405787603,-382668.634,-75764.043,-55222.903,0.017461931149,-1.907220644909,-1.029682750930
11119.591,EarthOrbit,-31489.664773118,-40905.191407220,-22153.083811331,-382620.854,-75972.619,-55333.192,0.034649067716,-1.885017124126,-1.017657313550
11359.591,EarthOrbit,-31479.325359025,-41354.956402069,-22395.892263134,-382573.074,-76181.195,-55443.480,0.051449474472,-1.863065903381,-1.005768944635
11599.591,EarthOrbit,-31464.998819389,-41799.482612511,-22635.863537109,-382525.106,-76389.734,-55553.742,0.067877431724,-1.841359338272,-0.994013485467
11839.591,EarthOrbit,-31446.772901836,-42238.827868095,-22873.029048652,-382476.967,-76598.239,-55663.978,0.083946490759,-1.819890078156,-0.982386937541
12079.591,EarthOrbit,-31424.732184462,-42673.048267995,-23107.419271937,-382428.819,-76806.742,-55774.213,0.099669520527,-1.798651051500,-0.970885454547
12319.591,EarthOrbit,-31398.958234350,-43102.198246321,-23339.063775529,-382380.321,-77015.175,-55884.397,0.115058750747,-1.777635452072,-0.959505334823
12559.591,EarthOrbit,-31369.529756143,-43526.330634212,-23567.991256235,-382331.824,-77223.607,-55994.580,0.130125811739,-1.756836725928,-0.948243014241
12799.591,EarthOrbit,-31336.522731423,-43945.496718906,-23794.229571301,-382283.138,-77432.002,-56104.736,0.144881771281,-1.736248559151,-0.937095059505
13039.591,EarthOrbit,-31300.010549570,-44359.746299937,-24017.805769046,-382234.281,-77640.362,-56214.867,0.159337168743,-1.715864866280,-0.926058161827
13279.591,EarthOrbit,-31260.064130738,-44769.127742647,-24238.746118022,-382185.416,-77848.721,-56324.996,0.173502046734,-1.695679779393,-0.915129130966
13519.591,EarthOrbit,-31216.752041506,-45173.688029144,-24457.076134783,-382136.202,-78057.008,-56435.073,0.187385980470,-1.675687637806,-0.904304889601
13759.591,EarthOrbit,-31170.140603739,-45573.472806861,-24672.820610339,-382086.987,-78265.295,-56545.151,0.200998105058,-1.655882978333,-0.893582468010
13999.591,EarthOrbit,-31120.293997138,-45968.526434844,-24886.003635377,-382037.584,-78473.543,-56655.200,0.214347140865,-1.636260526097,-0.882958999055
14239.591,EarthOrbit,-31067.274355904,-46358.892027888,-25096.648624303,-381988.011,-78681.757,-56765.224,0.227441417121,-1.616815185831,-0.872431713431
14479.591,EarthOrbit,-31011.141859947,-46744.611498654,-25304.778338177,-381938.429,-78889.968,-56875.247,0.240288893915,-1.597542033654,-0.861997935183
14719.591,EarthOrbit,-30951.954820988,-47125.725597851,-25510.414906605,-381888.498,-79098.108,-56985.217,0.252897182692,-1.578436309290,-0.851655077451
14959.591,EarthOrbit,-30889.769763910,-47502.273952617,-25713.579848636,-381838.567,-79306.247,-57095.187,0.265273565391,-1.559493408705,-0.841400638458
