t_sec,phase,orion_x,orion_y,orion_z,moon_x,moon_y,moon_z,orion_vx,orion_vy,orion_vz
10925.834,outbound,-35084.255,31694.037,0.000,-216147.633,317873.498,0.000,-3.66668,1.23519,0.00000
11014.164,outbound,-35407.618,31802.678,0.000,-216222.366,317822.668,0.000,-3.65506,1.22472,0.00000
11102.494,outbound,-35729.960,31910.402,0.000,-216297.087,317771.821,0.000,-3.64356,1.21442,0.00000
11190.824,outbound,-36051.291,32017.223,0.000,-216371.797,317720.956,0.000,-3.63218,1.20429,0.00000
11279.154,outbound,-36371.622,32123.156,0.000,-216446.494,317670.073,0.000,-3.62091,1.19432,0.00000
11367.484,outbound,-36690.964,32228.215,0.000,-216521.179,317619.173,0.000,-3.60977,1.18450,0.00000
11455.813,outbound,-37009.326,32332.414,0.000,-216595.852,317568.255,0.000,-3.59873,1.17484,0.00000
11544.143,outbound,-37326.718,32435.766,0.000,-216670.513,317517.320,0.000,-3.58781,1.16532,0.00000
11632.473,outbound,-37643.150,32538.283,0.000,-216745.162,317466.368,0.000,-3.57700,1.15595,0.00000
11720.803,outbound,-37958.632,32639.980,0.000,-216819.800,317415.397,0.000,-3.56630,1.14673,0.00000
11809.133,outbound,-38273.174,32740.868,0.000,-216894.425,317364.410,0.000,-3.55570,1.13764,0.00000
11897.462,outbound,-38586.784,32840.959,0.000,-216969.038,317313.404,0.000,-3.54521,1.12869,0.00000
11985.792,outbound,-38899.472,32940.266,0.000,-217043.639,317262.381,0.000,-3.53482,1.11987,0.00000
12074.122,outbound,-39211.246,33038.799,0.000,-217118.229,317211.341,0.000,-3.52453,1.11118,0.00000
12162.452,outbound,-39522.116,33136.570,0.000,-217192.806,317160.283,0.000,-3.51434,1.10262,0.00000
12250.782,outbound,-39832.091,33233.591,0.000,-217267.371,317109.207,0.000,-3.50425,1.09418,0.00000
12339.112,outbound,-40141.178,33329.871,0.000,-217341.925,317058.114,0.000,-3.49425,1.08586,0.00000
12427.441,outbound,-40449.387,33425.422,0.000,-217416.466,317007.004,0.000,-3.48435,1.07766,0.00000
12515.771,outbound,-40756.724,33520.253,0.000,-217490.995,316955.876,0.000,-3.47454,1.06957,0.00000
12604.101,outbound,-41063.200,33614.376,0.000,-217565.512,316904.730,0.000,-3.46482,1.06160,0.00000
12692.431,outbound,-41368.821,33707.799,0.000,-217640.017,316853.567,0.000,-3.45519,1.05374,0.00000
12780.761,outbound,-41673.596,33800.533,0.000,-217714.511,316802.386,0.000,-3.44565,1.04599,0.00000
12869.090,outbound,-41977.532,33892.586,0.000,-217788.992,316751.188,0.000,-3.43620,1.03834,0.00000
12957.420,outbound,-42280.637,33983.969,0.000,-217863.461,316699.972,0.000,-3.42684,1.03080,0.00000
13045.750,outbound,-42582.918,34074.689,0.000,-217937.918,316648.739,0.000,-3.41755,1.02336,0.00000
13134.080,outbound,-42884.383,34164.757,0.000,-218012.363,316597.488,0.000,-3.40836,1.01601,0.00000
13222.410,outbound,-43185.039,34254.180,0.000,-218086.796,316546.220,0.000,-3.39924,1.00877,0.00000
13310.739,outbound,-43484.894,34342.968,0.000,-218161.216,316494.935,0.000,-3.39020,1.00162,0.00000
13399.069,outbound,-43783.953,34431.128,0.000,-218235.625,316443.631,0.000,-3.38124,0.99456,0.00000
13487.399,outbound,-44082.225,34518.669,0.000,-218310.022,316392.311,0.000,-3.37236,0.98759,0.00000
13575.729,outbound,-44379.716,34605.598,0.000,-218384.407,316340.973,0.000,-3.36356,0.98071,0.00000
13664.059,outbound,-44676.433,34691.924,0.000,-218458.779,316289.617,0.000,-3.35483,0.97393,0.00000
13752.389,outbound,-44972.382,34777.654,0.000,-218533.140,316238.244,0.000,-3.34618,0.96722,0.00000
13840.718,outbound,-45267.571,34862.796,0.000,-218607.488,316186.853,0.000,-3.33760,0.96060,0.00000
13929.048,outbound,-45562.004,34947.357,0.000,-218681.825,316135.445,0.000,-3.32910,0.95407,0.00000
14017.378,outbound,-45855.690,35031.344,0.000,-218756.149,316084.019,0.000,-3.32066,0.94761,0.00000
14105.708,outbound,-46148.633,35114.764,0.000,-218830.461,316032.576,0.000,-3.31230,0.94124,0.00000
14194.038,outbound,-46440.841,35197.624,0.000,-218904.761,315981.116,0.000,-3.30400,0.93494,0.00000
14282.367,outbound,-46732.319,35279.932,0.000,-218979.049,315929.638,0.000,-3.29577,0.92872,0.00000
14370.697,outbound,-47023.073,35361.693,0.000,-219053.325,315878.142,0.000,-3.28761,0.92257,0.00000
14459.027,outbound,-47313.109,35442.915,0.000,-219127.589,315826.629,0.000,-3.27952,0.91650,0.00000
14547.357,outbound,-47602.434,35523.604,0.000,-219201.840,315775.099,0.000,-3.27149,0.91050,0.00000
14635.687,outbound,-47891.052,35603.765,0.000,-219276.080,315723.551,0.000,-3.26353,0.90457,0.00000
14724.017,outbound,-48178.969,35683.406,0.000,-219350.307,315671.986,0.000,-3.25563,0.89871,0.00000
14812.346,outbound,-48466.191,35762.532,0.000,-219424.523,315620.403,0.000,-3.24779,0.89291,0.00000
14900.676,outbound,-48752.724,35841.150,0.000,-219498.726,315568.803,0.000,-3.24001,0.88719,0.00000
14989.006,outbound,-49038.572,35919.264,0.000,-219572.917,315517.185,0.000,-3.23230,0.88153,0.00000
15077.336,outbound,-49323.742,35996.882,0.000,-219647.096,315465.550,0.000,-3.22464,0.87593,0.00000
15165.666,outbound,-49608.238,36074.008,0.000,-219721.262,315413.898,0.000,-3.21705,0.87040,0.00000
15253.995,outbound,-49892.066,36150.648,0.000,-219795.417,315362.228,0.000,-3.20951,0.86493,0.00000
15342.325,outbound,-50175.230,36226.808,0.000,-219869.559,315310.540,0.000,-3.20203,0.85952,0.00000
15430.655,outbound,-50457.737,36302.493,0.000,-219943.690,315258.836,0.000,-3.19461,0.85418,0.00000
15518.985,outbound,-50739.590,36377.709,0.000,-220017.808,315207.113,0.000,-3.18724,0.84889,0.00000
15607.315,outbound,-51020.795,36452.459,0.000,-220091.914,315155.374,0.000,-3.17993,0.84366,0.00000
