time,x,y,z
21660,-179882227.33670706,339714209.7284957,0.0
21720,-179936219.9540261,339685614.5787521,0.0
21780,-179990208.02569005,339657010.8476698,0.0
21840,-180044191.55033505,339628398.5359714,0.0
21900,-180098170.52659732,339599777.6443798,0.0
21960,-180152144.9531132,339571148.173618,0.0
22020,-180206114.82851917,339542510.1244093,0.0
22080,-180260080.15145183,339513863.4974771,0.0
22140,-180314040.92054784,339485208.2935451,0.0
22200,-180367997.13444403,339456544.51333725,0.0
22260,-180421948.79177734,339427872.15757763,0.0
22320,-180475895.89118478,339399191.2269906,0.0
22380,-180529838.43130353,339370501.72230065,0.0
22440,-180583776.41077086,339341803.64423263,0.0
22500,-180637709.82822415,339313096.9935115,0.0
22560,-180691638.6823009,339284381.77086246,0.0
22620,-180745562.97163874,339255657.97701097,0.0
22680,-180799482.6948754,339226925.61268264,0.0
22740,-180853397.8506487,339198184.6786033,0.0
22800,-180907308.43759665,339169435.175499,0.0
22860,-180961214.4543573,339140677.1040961,0.0
22920,-181015115.89956883,339111910.4651211,0.0
22980,-181069012.77186957,339083135.25930065,0.0
23040,-181122905.06989795,339054351.4873617,0.0
23100,-181176792.7922925,339025559.1500315,0.0
23160,-181230675.9376919,338996758.24803734,0.0
23220,-181284554.5047349,338967948.7821068,0.0
23280,-181338428.4920604,338939130.7529677,0.0
23340,-181392297.89830738,338910304.16134804,0.0
23400,-181446162.72211498,338881469.0079761,0.0
23460,-181500022.96212244,338852625.2935803,0.0
23520,-181553878.61696908,338823773.0188893,0.0
23580,-181607729.6852944,338794912.184632,0.0
23640,-181661576.16573796,338766042.79153746,0.0
23700,-181715418.05693948,338737164.840335,0.0
23760,-181769255.35753876,338708278.3317542,0.0
23820,-181823088.06617573,338679383.2665248,0.0
23880,-181876916.18149045,338650479.64537674,0.0
23940,-181930739.70212305,338621567.4690402,0.0
24000,-181984558.62671384,338592646.7382456,0.0
24060,-182038372.9539032,338563717.45372355,0.0
24120,-182092182.68233165,338534779.61620486,0.0
24180,-182145987.8106398,338505833.2264206,0.0
24240,-182199788.33746842,338476878.28510195,0.0
24300,-182253584.26145834,338447914.7929805,0.0
24360,-182307375.58125055,338418942.75078785,0.0
24420,-182361162.29548615,338389962.159256,0.0
24480,-182414944.40280634,338360973.019117,0.0
24540,-182468721.90185246,338331975.3311032,0.0
24600,-182522494.7912659,338302969.0959472,0.0
24660,-182576263.0696883,338273954.3143817,0.0
24720,-182630026.73576126,338244930.98713976,0.0
24780,-182683785.7881266,338215899.1149546,0.0
24840,-182737540.2254262,338186858.6985595,0.0
24900,-182791290.04630214,338157809.7386883,0.0
24960,-182845035.24939653,338128752.2360747,0.0
25020,-182898775.8333516,338099686.1914528,0.0
25080,-182952511.79680976,338070611.6055569,0.0
25140,-183006243.1384135,338041528.4791215,0.0
25200,-183059969.8568054,338012436.81288135,0.0
25260,-183113691.95062822,337983336.6075713,0.0
25320,-183167409.41852477,337954227.8639266,0.0
25380,-183221122.25913802,337925110.5826825,0.0
25440,-183274830.47111103,337895984.76457465,0.0
25500,-183328534.05308703,337866850.4103388,0.0
25560,-183382233.0037093,337837707.520711,0.0
25620,-183435927.32162124,337808556.09642744,0.0
25680,-183489617.00546643,337779396.1382246,0.0
25740,-183543302.05388853,337750227.6468391,0.0
25800,-183596982.46553132,337721050.62300783,0.0
25860,-183650658.23903868,337691865.06746787,0.0
25920,-183704329.3730546,337662670.98095655,0.0
25980,-183757995.86622325,337633468.3642114,0.0
26040,-183811657.71718884,337604257.2179701,0.0
26100,-183865314.92459574,337575037.54297054,0.0
26160,-183918967.48708844,337545809.339951,0.0
26220,-183972615.40331155,337516572.60964984,0.0
26280,-184026258.67190978,337487327.3528056,0.0
26340,-184079897.29152793,337458073.5701572,0.0
26400,-184133531.26081097,337428811.26244354,0.0
26460,-184187160.57840398,337399540.43040395,0.0
26520,-184240785.24295214,337370261.07477784,0.0
26580,-184294405.25310072,337340973.1963049,0.0
26640,-184348020.6074952,337311676.79572505,0.0
26700,-184401631.30478105,337282371.8737783,0.0
26760,-184455237.34360397,337253058.43120503,0.0
26820,-184508838.72260973,337223736.46874577,0.0
26880,-184562435.4404442,337194405.98714125,0.0
26940,-184616027.4957534,337165066.9871325,0.0
27000,-184669614.88718346,337135719.4694606,0.0
