time,x,y,z
19320,-65628075.658256605,40508890.62029536,0.0
19380,-65797501.58560516,40545802.442662545,0.0
19440,-65966723.06102709,40582588.40149095,0.0
19500,-66135740.853416614,40619249.17916368,0.0
19560,-66304555.72648539,40655785.45224489,0.0
19620,-66473168.438812,40692197.89154737,0.0
19680,-66641579.743890904,40728487.16219905,0.0
19740,-66809790.39018074,40764653.92370864,0.0
19800,-66977801.12115205,40800698.83003021,0.0
19860,-67145612.67533447,40836622.529626906,0.0
19920,-67313225.78636324,40872425.665533714,0.0
19980,-67480641.18302529,40908108.87541931,0.0
20040,-67647859.58930461,40943672.79164706,0.0
20100,-67814881.72442725,40979118.04133508,0.0
20160,-67981708.30290563,41014445.24641552,0.0
20220,-68148340.03458239,41049655.023692906,0.0
20280,-68314777.62467371,41084747.98490175,0.0
20340,-68481021.77381207,41119724.73676328,0.0
20400,-68647073.17808859,41154585.88104139,0.0
20460,-68812932.52909479,41189332.014597796,0.0
20520,-68978600.51396383,41223963.7294464,0.0
20580,-69144077.81541143,41258481.61280697,0.0
20640,-69309365.11177607,41292886.24715793,0.0
20700,-69474463.0770589,41327178.210288584,0.0
20760,-69639372.3809631,41361358.07535046,0.0
20820,-69804093.68893284,41395426.410908066,0.0
20880,-69968627.66219167,41429383.78098883,0.0
20940,-70132974.95778063,41463230.74513247,0.0
21000,-70297136.22859576,41496967.8584396,0.0
21060,-70461112.12342529,41530595.67161973,0.0
21120,-70624903.28698632,41564114.731038526,0.0
21180,-70788510.35996114,41597525.57876454,0.0
21240,-70951933.97903307,41630828.752615236,0.0
21300,-71115174.77692199,41664024.78620238,0.0
21360,-71278233.38241935,41697114.20897687,0.0
21420,-71441110.42042282,41730097.54627293,0.0
21480,-71603806.51197062,41762975.319351725,0.0
21540,-71766322.27427535,41795748.045444354,0.0
21600,-71928658.32075748,41828416.23779434,0.0
21660,-72090815.26107849,41860980.4056995,0.0
21720,-72252793.70117362,41893441.05455327,0.0
21780,-72414594.24328421,41925798.6858855,0.0
21840,-72576217.48598978,41958053.79740268,0.0
21900,-72737664.02423961,41990206.88302768,0.0
21960,-72898934.44938414,42022258.43293893,0.0
22020,-73060029.3492058,42054208.93360911,0.0
22080,-73220949.30794977,42086058.867843315,0.0
22140,-73381694.90635411,42117808.71481674,0.0
22200,-73542266.72167984,42149458.95011188,0.0
22260,-73702665.32774042,42181010.04575524,0.0
22320,-73862891.29493113,42212462.47025354,0.0
22380,-74022945.19025801,42243816.68862954,0.0
22440,-74182827.5773665,42275073.162457295,0.0
22500,-74342539.01656978,42306232.34989706,0.0
22560,-74502080.0648768,42337294.705729656,0.0
22620,-74661451.27601998,42368260.681390494,0.0
22680,-74820653.2004827,42399130.72500308,0.0
22740,-74979686.38552636,42429905.28141215,0.0
22800,-75138551.37521727,42460584.792216375,0.0
22860,-75297248.71045314,42491169.69580064,0.0
22920,-75455778.9289894,42521660.42736792,0.0
22980,-75614142.56546512,42552057.41897078,0.0
23040,-75772340.15142882,42582361.09954245,0.0
23100,-75930372.21536377,42612571.89492753,0.0
23160,-76088239.28271326,42642690.22791232,0.0
23220,-76245941.87590542,42672716.51825475,0.0
23280,-76403480.51437792,42702651.18271395,0.0
23340,-76560855.71460228,42732494.635079466,0.0
23400,-76718067.99010801,42762247.28620012,0.0
23460,-76875117.8515065,42791909.544012494,0.0
23520,-77032005.80651458,42821481.813569054,0.0
23580,-77188732.35997793,42850964.49706599,0.0
23640,-77345298.01389422,42880357.99387065,0.0
23700,-77501703.2674359,42909662.70054869,0.0
23760,-77657948.61697294,42938879.01089086,0.0
23820,-77814034.55609523,42968007.31593947,0.0
23880,-77969961.57563469,42997048.0040146,0.0
23940,-78125730.1636873,43026001.46073987,0.0
24000,-78281340.8056348,43054868.06906804,0.0
24060,-78436793.98416615,43083648.209306166,0.0
24120,-78592090.17929886,43112342.2591406,0.0
24180,-78747229.86840008,43140950.59366158,0.0
24240,-78902213.52620737,43169473.585387535,0.0
24300,-79057041.62484942,43197911.60428922,0.0
24360,-79211714.63386643,43226265.0178134,0.0
24420,-79366233.02023034,43254534.19090637,0.0
24480,-79520597.24836485,43282719.48603715,0.0
24540,-79674807.78016527,43310821.26322043,0.0
24600,-79828865.0750181,43338839.88003923,0.0
24660,-79982769.58982044,43366775.69166731,0.0
24720,-80136521.7789993,43394629.05089131,0.0
24780,-80290122.09453051,43422400.30813262,0.0
24840,-80443570.98595767,43450089.81146902,0.0
24900,-80596868.90041077,43477697.90665607,0.0
24960,-80750016.28262466,43505224.937148236,0.0
25020,-80903013.57495734,43532671.24411977,0.0
25080,-81055861.21740809,43560037.166485384,0.0
25140,-81208559.64763539,43587323.040920645,0.0
25200,-81361109.30097465,43614529.201882154,0.0
25260,-81513510.61045584,43641655.981627524,0.0
25320,-81665764.00682089,43668703.710235074,0.0
25380,-81817869.91854087,43695672.71562335,0.0
25440,-81969828.77183315,43722563.32357039,0.0
25500,-82121640.99067827,43749375.85773282,0.0
25560,-82273306.99683663,43776110.639664635,0.0
25620,-82424827.20986517,43802767.98883591,0.0
25680,-82576202.04713371,43829348.222651176,0.0
25740,-82727431.92384125,43855851.656467676,0.0
25800,-82878517.25303204,43882278.603613354,0.0
25860,-83029458.4456116,43908629.37540469,0.0
25920,-83180255.91036244,43934904.28116432,0.0
25980,-83330910.05395974,43961103.62823845,0.0
26040,-83481421.28098689,43987227.72201409,0.0
26100,-83631789.99395075,44013276.865936115,0.0
26160,-83782016.59329695,44039251.36152409,0.0
26220,-83932101.47742486,44065151.50838897,0.0
26280,-84082045.0427026,44090977.60424955,0.0
26340,-84231847.68348175,44116729.94494882,0.0
26400,-84381509.79211204,44142408.82447005,0.0
26460,-84531031.75895579,44168014.53495277,0.0
26520,-84680413.97240233,44193547.36670853,0.0
26580,-84829656.81888221,44219007.608236544,0.0
26640,-84978760.6828813,44244395.5462391,0.0
26700,-85127725.94695476,44269711.46563684,0.0
26760,-85276552.99174087,44294955.64958388,0.0
26820,-85425242.19597475,44320128.37948277,0.0
26880,-85573793.93650195,44345229.934999235,0.0
26940,-85722208.58829187,44370260.59407687,0.0
27000,-85870486.52445112,44395220.63295158,0.0
27060,-86018628.11623675,44420110.326165885,0.0
27120,-86166633.7330693,44444929.94658312,0.0
27180,-86314503.74254578,44469679.76540145,0.0
27240,-86462238.51045255,44494360.052167736,0.0
27300,-86609838.40077803,44518971.07479124,0.0
27360,-86757303.77572528,44543513.099557236,0.0
27420,-86904634.99572456,44567986.39114044,0.0
27480,-87051832.41944572,44592391.2126183,0.0
27540,-87198896.40381044,44616727.82548416,0.0
27600,-87345827.30400442,44640996.48966027,0.0
27660,-87492625.47348943,44665197.4635107,0.0
27720,-87639291.26401527,44689331.00385406,0.0
27780,-87785825.02563159,44713397.36597615,0.0
27840,-87932227.10669963,44737396.80364242,0.0
27900,-88078497.85390389,44761329.56911036,0.0
27960,-88224637.61226359,44785195.91314172,0.0
28020,-88370646.72514416,44808996.08501461,0.0
28080,-88516525.53426853,44832730.332535505,0.0
28140,-88662274.37972832,44856398.902051084,0.0
28200,-88807893.59999503,44880002.03846,0.0
28260,-88953383.53193104,44903539.985224485,0.0
28320,-89098744.51080053,44927012.98438184,0.0
28380,-89243976.87028027,44950421.27655584,0.0
28440,-89389080.94247046,44973765.10096802,0.0
28500,-89534057.05790527,44997044.69544879,0.0
28560,-89678905.54556346,45020260.296448536,0.0
28620,-89823626.7328788,45043412.1390485,0.0
28680,-89968220.94575045,45066500.456971645,0.0
28740,-90112688.5085532,45089525.48259336,0.0
28800,-90257029.74414775,45112487.44695206,0.0
28860,-90401244.9738907,45135386.57975971,0.0
28920,-90545334.51764464,45158223.10941221,0.0
28980,-90689298.69378804,45180997.26299968,0.0
29040,-90833137.81922507,45203709.26631671,0.0
29100,-90976852.20939544,45226359.343872376,0.0
29160,-91120442.17828396,45248947.718900286,0.0
29220,-91263908.03843021,45271474.613368474,0.0
29280,-91407250.10093802,45293940.247989185,0.0
29340,-91550468.67548491,45316344.84222858,0.0
29400,-91693564.0703314,45338688.61431634,0.0
29460,-91836536.59233029,45360971.7812552,0.0
29520,-91979386.54693592,45383194.55883035,0.0
29580,-92122114.23821315,45405357.161618784,0.0
29640,-92264719.96884651,45427459.80299851,0.0
29700,-92407204.0401491,45449502.69515775,0.0
29760,-92549566.75207146,45471486.049103945,0.0
29820,-92691808.40321045,45493410.074672766,0.0
29880,-92833929.29081789,45515274.980537,0.0
29940,-92975929.71080929,45537080.97421533,0.0
30000,-93117809.95777242,45558828.26208109,0.0
30060,-93259570.3249758,45580517.04937086,0.0
30120,-93401211.1043772,45602147.54019307,0.0
30180,-93542732.58663195,45623719.93753642,0.0
30240,-93684135.06110132,45645234.443278275,0.0
30300,-93825418.81586067,45666691.25819303,0.0
30360,-93966584.13770773,45688090.58196029,0.0
30420,-94107631.3121706,45709432.61317304,0.0
30480,-94248560.62351584,45730717.549345724,0.0
30540,-94389372.35475646,45751945.58692226,0.0
30600,-94530066.78765976,45773116.92128394,0.0
30660,-94670644.20275523,45794231.7467573,0.0
30720,-94811104.87934227,45815290.256621905,0.0
30780,-94951449.09549798,45836292.643118046,0.0
30840,-95091677.12808473,45857239.09745438,0.0
30900,-95231789.25275782,45878129.80981547,0.0
30960,-95371785.74397294,45898964.96936932,0.0
31020,-95511666.8749937,45919744.764274776,0.0
31080,-95651432.91789897,45940469.38168888,0.0
31140,-95791084.14359029,45961139.00777416,0.0
31200,-95930620.82179911,45981753.82770586,0.0
31260,-96070043.22109406,46002314.025679074,0.0
31320,-96209351.60888807,46022819.784915864,0.0
31380,-96348546.25144553,46043271.28767226,0.0
31440,-96487627.41388933,46063668.71524522,0.0
31500,-96626595.36020786,46084012.24797954,0.0
31560,-96765450.35326192,46104302.06527468,0.0
31620,-96904192.65479168,46124538.34559153,0.0
31680,-97042822.52542348,46144721.266459145,0.0
31740,-97181340.2246766,46164851.00448135,0.0
31800,-97319746.01096998,46184927.735343374,0.0
31860,-97458040.14162895,46204951.63381835,0.0
31920,-97596222.87289178,46224922.87377379,0.0
31980,-97734294.45991631,46244841.62817802,0.0
32040,-97872255.15678641,46264708.06910651,0.0
32100,-98010105.21651852,46284522.367748186,0.0
32160,-98147844.89106801,46304284.69441165,0.0
32220,-98285474.43133555,46323995.218531415,0.0
32280,-98422994.08717346,46343654.10867398,0.0
32340,-98560404.10739195,46363261.53254395,0.0
32400,-98697704.73976536,46382817.65699003,0.0
32460,-98834896.23103832,46402322.648011014,0.0
32520,-98971978.82693186,46421776.6707617,0.0
32580,-99108952.77214953,46441179.88955874,0.0
32640,-99245818.31038338,46460532.46788648,0.0
32700,-99382575.68431997,46479834.568402685,0.0
32760,-99519225.13564631,46499086.35294429,0.0
32820,-99655766.90505575,46518287.98253305,0.0
32880,-99792201.23225379,46537439.61738113,0.0
32940,-99928528.35596396,46556541.41689669,0.0
33000,-100064748.51393351,46575593.53968941,0.0
33060,-100200861.94293913,46594596.143575914,0.0
33120,-100336868.87879269,46613549.385585256,0.0
33180,-100472769.55634676,46632453.421964236,0.0
33240,-100608564.20950028,46651308.40818275,0.0
33300,-100744253.07120408,46670114.49893906,0.0
33360,-100879836.37346637,46688871.84816505,0.0
33420,-101015314.34735821,46707580.6090314,0.0
33480,-101150687.22301891,46726240.93395273,0.0
33540,-101285955.22966145,46744852.9745927,0.0
33600,-101421118.59557776,46763416.8818691,0.0
33660,-101556177.54814409,46781932.805958815,0.0
33720,-101691132.31382619,46800400.89630283,0.0
33780,-101825983.1181846,46818821.30161115,0.0
33840,-101960730.18587978,46837194.16986769,0.0
33900,-102095373.74067728,46855519.64833513,0.0
33960,-102229914.00545284,46873797.883559704,0.0
34020,-102364351.20219743,46892029.02137598,0.0
34080,-102498685.55202232,46910213.20691157,0.0
34140,-102632917.27516405,46928350.584591836,0.0
34200,-102767046.59098938,46946441.29814452,0.0
34260,-102901073.71800022,46964485.490604356,0.0
34320,-103034998.8738385,46982483.30431764,0.0
34380,-103168822.27529103,47000434.88094675,0.0
34440,-103302544.1382943,47018340.36147466,0.0
34500,-103436164.67793927,47036199.88620939,0.0
34560,-103569684.1084761,47054013.594788395,0.0
34620,-103703102.64331886,47071781.62618298,0.0
34680,-103836420.49505019,47089504.11870264,0.0
34740,-103969637.87542598,47107181.20999937,0.0
34800,-104102754.99537991,47124813.037071906,0.0
34860,-104235772.06502809,47142399.736270025,0.0
34920,-104368689.29367353,47159941.4432987,0.0
